Domain,country,Element,Item,year,Source,co2_emissions
"Emissions totals","Brazil","Emissions (CO2)","Net Forest conversion","2020","FAO TIER 1","653402.772"
"Emissions totals","Brazil","Emissions (CO2)","Net Forest conversion","2021","FAO TIER 1","653402.772"
"Emissions totals","Brazil","Emissions (CO2)","Fires in organic soils","1990","FAO TIER 1","0"
"Emissions totals","Brazil","Emissions (CO2)","Fires in organic soils","1991","FAO TIER 1","0"
"Emissions totals","Brazil","Emissions (CO2)","Fires in organic soils","1992","FAO TIER 1","0"
"Emissions totals","Brazil","Emissions (CO2)","Fires in organic soils","1993","FAO TIER 1","0"
"Emissions totals","Brazil","Emissions (CO2)","Fires in organic soils","1994","FAO TIER 1","0"
"Emissions totals","Brazil","Emissions (CO2)","Fires in organic soils","1995","FAO TIER 1","0"
"Emissions totals","Brazil","Emissions (CO2)","Fires in organic soils","1996","FAO TIER 1","0"
"Emissions totals","Brazil","Emissions (CO2)","Fires in organic soils","1997","FAO TIER 1","0"
"Emissions totals","Brazil","Emissions (CO2)","Fires in organic soils","1998","FAO TIER 1","0"
